# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 02, 2025100500, 03, FNV3,  42, 195N,  602E,  28, 1003, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  37,
IO, 02, 2025100500, 03, FNV3,  48, 193N,  605E,  28, 1003, XX,  34, NEQ,    1,    1,    2,    1,     ,     ,  35,
IO, 02, 2025100500, 03, FNV3,  54, 192N,  609E,  25, 1005, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  37,
IO, 02, 2025100500, 03, FNV3,  60, 192N,  612E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
IO, 02, 2025100500, 03, FNV3,  66, 191N,  617E,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
IO, 02, 2025100500, 03, FNV3,  72, 190N,  618E,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
IO, 02, 2025100500, 03, FNV3,  78, 189N,  619E,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
IO, 02, 2025100500, 03, FNV3,  84, 191N,  618E,  22, 1006, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  42,
IO, 02, 2025100500, 03, FNV3,  90, 190N,  618E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  41,
IO, 02, 2025100500, 03, FNV3,  96, 188N,  619E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  44,
IO, 02, 2025100500, 03, FNV3, 102, 188N,  617E,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
IO, 02, 2025100500, 03, FNV3, 108, 188N,  614E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
IO, 02, 2025100500, 03, FNV3, 114, 187N,  614E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  42,
IO, 02, 2025100500, 03, FNV3, 120, 186N,  613E,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
IO, 02, 2025100500, 03, FNV3, 126, 185N,  609E,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  58,
WP, 27, 2025100500, 03, FNV3,   0, 202N, 1116E,  89,  968, XX,  34, NEQ,  150,  130,  110,  140,     ,     ,  30,
WP, 27, 2025100500, 03, FNV3,   6, 208N, 1105E, 104,  953, XX,  34, NEQ,  131,  110,   96,  116,     ,     ,  16,
WP, 27, 2025100500, 03, FNV3,   6, 208N, 1105E, 104,  953, XX,  50, NEQ,   70,   60,   49,   63,     ,     ,  16,
WP, 27, 2025100500, 03, FNV3,   6, 208N, 1105E, 104,  953, XX,  64, NEQ,   43,   39,   32,   38,     ,     ,  16,
WP, 27, 2025100500, 03, FNV3,  12, 212N, 1095E,  88,  964, XX,  34, NEQ,  118,   95,   82,  106,     ,     ,  14,
WP, 27, 2025100500, 03, FNV3,  12, 212N, 1095E,  88,  964, XX,  50, NEQ,   64,   53,   44,   57,     ,     ,  14,
WP, 27, 2025100500, 03, FNV3,  12, 212N, 1095E,  88,  964, XX,  64, NEQ,   36,   31,   26,   31,     ,     ,  14,
WP, 27, 2025100500, 03, FNV3,  18, 218N, 1086E,  69,  978, XX,  34, NEQ,  116,   92,   77,  100,     ,     ,  18,
